id,season,line-text,speaker
133,1,well pam maybe you should stick to the ongoing confidentiality agreement of meetings,Michael
134,1,pam information is power,Dwight
136,1,no stanley no you did not see me in there with her i said if corporate wants to come in here and interfere then they're gonna have to go through me right you can go mess with josh's people but i'm the head of this family and you ain't gonna be messing with my chillin,Michael
137,1,if i left what would i do with all this useless information in my head you know tonnage price of manila folders um pam's favorite flavor of yogurt which is mixed berry,Jim
138,1,jim said mixed berries well yeah he's on to me um,Pam
139,1,watch out for this guy dwight schrute in the building this is ryan the new temp,Michael
141,1,introduce yourself be polite,Michael
142,1,dwight schrute assistant regional manager,Dwight
143,1,assistant to the regional manager so uh dwight tell him about the kung fu and the car and everything,Michael
144,1,uh yeah i got a '78 280z bought it for $1200 fixed it up it's now worth three grand,Dwight
145,1,that's his profit,Michael
146,1,new engine new suspension i got a respray i've got some photos,Dwight
147,1,damn it jim,Dwight
148,1,ok hold on hold on the judge is in session what is the problem here,Michael
149,1,he put my stuff in jell-o again,Dwight
151,1,that's real professional thanks that's the third time and it wasn't funny the first two times either jim,Dwight
152,1,it's ok here but people sometimes take advantage because it's so relaxed i'm a volunteer sheriff's deputy on the weekends and you cannot screw around there that's sort of one of the rules,Dwight
153,1,what is that,Michael
154,1,that is my stapler,Dwight
155,1,no no no do not take it out you have to eat it out of there because there are starving people in the world which i hate and it is a waste of that kind of food,Michael
156,1,ok you know what you can be a witness can you reprimand him,Dwight
157,1,how do you know it was me,Jim
158,1,it's always you are you going to discipline him or not,Dwight
159,1,discipline kinky all right here's the deal you guys the thing about a practical joke is you have to know when to start and as well as when to stop,Michael
160,1,yeah,Dwight
161,1,and yeah jim this is the time to stop putting dwight's personal effects into jell-o,Michael
162,1,ok dwight i'm sorry because i have always been your biggest flan,Jim
163,1,nice that's the way it is around here it just kind of goes round and round,Michael
165,1,hey yes new guy he scores,Michael
166,1,ok that's great i guess what i'm most concerned with is damage to company property that's all,Dwight
167,1,pudding pudding i'm trying to think of another dessert to do,Michael
168,1,do you like going out at the end of the week for a drink,Jim
169,1,yeah,Pam
170,1,that's why we're all going out so we can have an end-of-the-week-drink,Jim
171,1,so when are we going out,Pam
172,1,tonight hopefully,Jim
173,1,ok yeah,Pam
175,1,what's going on,Jim
177,1,hey,Pam
178,1,roy's my fiancee we've been engaged about three years we were supposed to get married in september but i think we're gonna get married in the spring,Pam
179,1,do you mind if i go out for a drink with these guys,Pam
181,1,ok i'm gonna be a few minutes so it's only twenty past five i still have to do my faxes,Pam
182,1,you know what you should come with us because you know we're all going out and it could be a good chance for you to see what people are like outside the office i think it could be fun,Jim
184,1,yeah yeah,Jim
185,1,um what's in the bag,Jim
187,1,no definitely all right dude awesome will do,Jim
188,1,do i think i'll be invited to the wedding,Jim
189,1,so have you felt the vibe yet we work hard we play hard sometimes we play hard when we should be working hard right i guess the atmosphere that i've created here is that i'm a friend first and a boss second and probably an entertainer third just a second right oh hey do you like the jamie kennedy experiment punk'd and all that kind of stuff,Michael
191,1,you are gonna be my accomplice just go along with it ok,Michael
193,1,just follow my lead don't pimp me all right come in so uh corporate just said that i don't want to,Michael
194,1,you got a fax,Pam
195,1,oh thank you pam can you come in here for a sec just have a seat i was gonna call you in anyway you know ryan as you know there is going to be downsizing and you have made my life so much easier in that i am going to have to let you go first,Michael
196,1,what why,Pam
197,1,why well theft and stealing,Michael
198,1,stealing what am i supposed to have stolen,Pam
199,1,post-it notes,Michael
200,1,post-it notes what are those worth 50 cents,Pam
201,1,50 cents yeah if you steal a thousand post-it notes at 50 cents apiece and you know you've made a profit margin you're gonna run us out of business pam,Michael
202,1,are you serious,Pam
203,1,yeah i am,Michael
204,1,i can't believe this i mean i have never even stolen as much as a paperclip and you're firing me,Pam
205,1,but the best thing about it is that we're not going to have to give you any severance pay because that is gross misconduct and just clean out your desk i'm sorry,Michael
206,1,you been x'd punk surprise it's a joke we were joking around see ok he was in on it he was my accomplice and it was kind of a morale booster thing and we were showing the new guy around giving him the feel of the place so you god we totally got you,Michael
207,1,you're a jerk,Pam
208,1,i don't know about that,Michael
209,1,what is the most important thing for a company is it the cash flow is it the inventory nuh-uh it's the people the people my proudest moment here was not when i increased profits by 17% or when i cut expenses without losing a single employee no no no no no it was a young guatemalan guy first job in the country barely spoke english he came to me and said 'mr scott would you be the godfather of my child' wow wow didn't work out in the end we had to let him go he sucked,Michael
210,1,hey,Pam
211,1,hey,Jim
212,1,how are things,Jim
213,1,good i thought you were going out for a drink with,Pam
214,1,oh no i just decided not to how's your headache,Jim
215,1,it's better thanks,Pam
216,1,good good,Jim
217,1,yeah,Pam
218,1,that's great,Jim
219,1,is,Pam
220,1,yeah,Jim
221,1,um are you,Pam
222,1,am i walking out,Jim
223,1,yes,Pam
224,1,yes i do you want to,Jim
225,1,yeah,Pam
226,1,great let me just,Jim
227,1,oh roy,Jim
228,1,yeah listen have a nice weekend,Pam
229,1,yeah definitely you too enjoy it you know what just come here,Jim
230,1,dwight schrute my father's name also dwight schrute my grandfather's name dweide schrude amish that's my family i don't know where they came the amish came from originally uh amland,Dwight
231,1,hello i'm michael scott i'm the best boss in the world,Michael
232,1,my name is jim halpert and i am a sales rep which is a very important job um without me dozens literally dozens of small businesses would go paperless they would have to write on their hands or bed sheets or who knows you know total chaos total chaos i mean or they could get their paper somewhere else staples maybe i don't know,Jim
233,1,pam pam-pam pam has been with us for forever right pam,Michael
234,1,i guess,Pam
235,1,yeah at one time or another every guy in the office has sprayed on pam,Michael
236,1,what,Pam
237,1,messages,Michael
238,1,people respond to the human touch and that's what i give them i can look at a client and i can say 'hello how are you how's business been going' and we can go back and forth for sometime and uh then i'll say how much how many reams do you want' and they'll order it and then i'll take care of all the sales i'll make sure that they get that paper and they appreciate that,Dwight
239,1,ah right here three stooges high five oh pam it's a guy thing pam now who was the one before curly,Michael
241,1,curly very good curly joe derita,Michael
243,1,well comedy's kinda my thing watch this here's curly joe mmm me me me me me me me me me me me me oh i forgot here we go i'm hitler right me me me me me me curly joe hitler,Michael
244,1,all these people are walking around and they're happy and their lives are just going along ignorance is bliss but if they knew what was lurking on the other side of that fence that furry monster 'i'm gonna get you downsizing' no they wouldn't they'd freak and i'm not going to play god they look to me for support and they look to me for guidance and leadership and i think if i could lie to them and it serves them then that's what i'm going to do,Michael
245,1,so this is our sales staff they are the ones who are making calls and making us lots of money this is accounting the numbers dudes do not let the job description fool you they are all completely crazy especially that guy he is a mental patient not literally of course that wouldn't work the last place you'd want somebody like that is accounting 'very interesting but stupid' artie johnson it's a crazy place,Michael
246,1,my name is angela and um i'm in charge of the accounting department there are three of us kevin and oscar,Angela
247,1,it's my job to keep the books in order and um i i'm uh immediately below my supervisor,Oscar
248,1,oscar how do i describe him he's like a stapler do i need a stapler yes but i'm still the one that has to push it down,Angela
249,1,there's a lot of anxiety i don't want to get laid off this place is like five minutes from my house,Oscar
250,1,i don't wanna be laid off this is a good job for me 'cause i need my nights free i'm in a band,Kevin
251,1,not very worried about downsizing right now because uh i think you've met kevin and um,Angela
252,1,can i just say one thing um my friend is jewish art geller and a couple of years ago he um showed me how you can plant a tree in israel so i planted a tree so you know 'cause yeah we work in paper well you know i try to give back,Oscar
253,1,i have a lot of cat figurines on my desk i think cats really are old souls and uh phyllis thinks so too,Angela
254,1,what you don't know well it can hurt you but if you don't know it won't hurt you then you can just be happy for a little while at least,Michael
255,1,what's that,Michael
256,1,wired,Pam
257,1,oh john belushi what a crazy guy phew freaked myself out this morning,Michael
258,1,oh yeah,Pam
259,1,yeah i thought i found a lump i checked the uh i check the jewels every month this time you know it's a little different it was fine it was fine but freaky man you know testicular cancer god cancer whoa testicles so what's um what you eating,Michael
260,1,smoked turkey,Pam
261,1,oh place around the corner nice all right see you later,Michael
262,1,do i need to speak up hello,Michael
264,1,that's fine,Dwight
266,1,i'm sorry it makes me nervous,Dwight
268,1,i understand it's in a blind spot because i'm trained in several martial arts and one of them uh includes uh an awareness that the masters bring uh of anything on all sides of you it could be behind you or whatever this is directly in a blind spot so i'm trained to respond negatively to something right above my head this now i have an eye on you see it's on my periphery and if i needed to block it attack it stop it somehow i could come right out i mean i know you're doing your job but documentary crew member: it's,Dwight
269,1,i'm doing my job,Dwight
270,1,i think better to be a happy idiot then a um then someone who knows the truth,Michael
271,1,hey uh can i help you out in here,Michael
273,1,gotcha good i'd go with the rows that's a good idea,Michael
274,1,today is diversity day and someone's going to come in and talk to us about diversity it's something that i've been pushing that i've been wanting to push for a long time and corporate mandated it and i never actually talked to corporate about it they kind of beat me to the punch the bastards but i was going to and i think it's very important that we have this i'm very very excited,Michael
275,1,that's the thing it's very sturdy paper and on the back it says '100% post-consumer content' what hello uh-huh wait what i'm sorry mr decker i think i'm losing you hello hello yeah hold on one second i don't know hold on one second,Jim
276,1,do you really have to do that right now,Jim
277,1,yes i do i should have done it weeks ago actually,Dwight
278,1,mr decker i'm sorry about that what were you can you hold on one second yeah just one second thanks hello that's it perfect so what i was saying hello thanks dwight,Jim
279,1,retaliation tit for tit,Dwight
280,1,that is not the expression,Jim
281,1,well it should be,Dwight
282,1,this is my biggest sale of the year they love me over there for some reason i'm not really sure why but i make one call over there every year just to renew their account and that one call ends up being 25% of my commission for the whole year so i buy a mini bottle of champagne celebrate a little and this year i'm pushing recycled paper on them for one percent more i know i'm getting cocky right,Jim
283,1,solitaire,Jim
284,1,yeah freecell,Pam
285,1,six on seven,Jim
286,1,i know i saw that,Pam
287,1,so then why didn't you do it,Jim
288,1,i'm saving that 'cause i like it when the cards go t-ts-ts-tch-tch-tch,Pam
289,1,who doesn't love that,Jim
290,1,hey oscar how are you doing man,Michael
291,1,all right,Oscar
292,1,did you have a good weekend going there,Michael
293,1,it was fine,Oscar
294,1,oh yeah i bet it was fun oh hey this is oscar---,Michael
295,1,martinez,Oscar
296,1,right see i don't even know first-name basis,Michael
298,1,oh hey well diversity everybody let's do it oscar works in here jim could you wrap it up please,Michael
299,1,yeah uh mr decker please,Jim
300,1,it's diversity day jim i wish every day was diversity day,Michael
301,1,you know what i'm actually going to have to call you back thank you sorry about that,Jim
303,1,come on people let's get 'em in get in the cards get in the cards,Michael
305,1,you know what this is a color-free-zone here stanley i don't look at you as another race,Michael
307,1,exactly were not,Michael
309,1,with tolerance,Michael
311,1,ignorance,Michael
313,1,let's celebrate,Michael
315,1,celebrate good times come on let's celebrate diversity right,Michael
317,1,you know what here's what we're going to do why don't we go around and everybody everybody say a race that you are attracted to sexually i will go last go,Michael
318,1,i have two white and indian,Dwight
320,1,yes,Michael
322,1,ok,Michael
324,1,a few of the ground rules,Dwight
325,1,hey hey why don't you run it by me and i'll run it by him,Michael
326,1,ok can we steer away from gay people,Dwight
328,1,i'm sorry it's an orientation it's not a race plus a lot of other races are intolerant of gays soparadox,Dwight
330,1,i figured it would save time,Dwight
331,1,ok why don't we just defer to mr,Michael
333,1,ah oh right ok first test i will not call you that,Michael
335,1,how come chris rock can do a routine and everybody finds it hilarious and ground-breaking and then i go and do the exact same routine same comedic timing and people file a complaint to corporate is it because i'm white and chris is black,Michael
337,1,i will play the chris rock guy i would like to see someone else pull this off,Michael
339,1,ok i will play guy listening,Michael
341,1,i remember,Kevin
343,1,ok,Michael
344,1,kevin is a great guy he's a great accountant he is not much of an entertainer,Michael
345,1,basically there are two types of black people and black people are actually more racist because they hate the other type of black people every time the one type wants to have a good time then the other type comes in and makes a real mess,Kevin
346,1,ok i'm sorry i'm sorry he's ruin he's butchering it could you just let me every time every time black people want to have a good time some ignant ass i take care of my kid,Michael
348,1,they always want credit for something they supposed to do,Michael
350,1,what you want a cookie,Michael
352,1,excuse me i'm sorry but that's not all it takes to be a hero,Dwight
354,1,a hero kills people people that wish him harm,Dwight
356,1,a hero is part-human and part-supernatural a hero is born out of a childhood trauma or out of a disaster that must be avenged,Dwight
358,1,we all have a hero in our heart,Dwight
360,1,i don't think i can sign this,Michael
362,1,well ok it says here that i learned something and i knew all this stuff already so i know i could sign something that says that i taught something or that i helped you teach something so pam where is she pam could we change something on this,Michael
364,1,sure,Michael
366,1,here's the thing this office i think this is very advanced in terms of racial awareness and it's probably more advanced than you're used to that's probably throwing you off a little bit,Michael
368,1,ok well i know you told me that several times,Michael
370,1,ok,Michael
372,1,well here i am thinking that you actually cared about diversity training and you don't,Michael
374,1,i won't,Michael
376,1,yeah yeah,Michael
377,1,i regret my actions i regret offending my coworkers i pledge to bring my best spirit of honesty empathy respect and open-mindedness' open-mindedness is that even a word 'into the workplace in this way i can truly be a hero signed daffy duck' he's going to lose it when he reads that,Michael
378,1,yeah hi is mr decker around oh well could you just have him call me after lunch thank you,Jim
379,1,i pledge to always keep an open mind and an open heart' i do believe in that part of the pledge i that just read but a pledge come on i mean who are we the girl scouts no look the guy 'mr brown' he got us halfway there he got us talking well no i got us talking he got us nothing he insulted us and he abandoned us you call that diversity training i don't were there any connections between any of us did anyone look each other in the eye was there any emotion going on no where was the heart i didn't see any heart where was my oprah moment ok get as much done as you can before lunch because afterward i'm going to have you all in tears,Michael
380,1,all right everybody pretty come on here we go it's time let's do some good,Michael
382,1,get out,Michael
384,1,no this is not a joke ok that was offensive and lame so double offensive this is an environment of welcoming and you should just get the hell out of here ok let's go let's do it come on let's have some fun everybody here we go take a seat cop a squat and um thanks for coming in um diversity is the cornerstone of progress as i've always said but don't take my word for it let's take a look at the tape,Michael
385,1,hi i'm michael scott i'm in charge of dunder mifflin paper products here in scranton pennsylvania but i'm also the founder of diversity tomorrow because today is almost over abraham lincoln once said that 'if you're a racist i will attack you with the north' and those are the principles that i carry with me in the workplace,Michael
386,1,ok questions comments anybody jim,Michael
387,1,: uh is that it,Jim
388,1,yes i only had an hour to put it together but i'm going to add on to it later on,Michael
389,1,it was kind of hard to hear,Kevin
390,1,uh yes that probably had something to do with the camera work anybody else um,Michael
392,1,yeah well if you leave we'll only have two left yes enjoy absolutely namaste ok well since i am leading this let's get down to business and why don't i just kind of introduce myself ok um i am michael and i am part english irish german and scottish sort of a virtual united nations but what some of you might not know is that i am also part native american indian,Michael
393,1,what part native american,Oscar
394,1,two fifteenths,Michael
395,1,two fifteenths that fraction doesn't make any sense,Oscar
396,1,well you know what it's kind of hard for me to talk about it their suffering so who else let's get this popping come on who's going who's going let's go here oscar right here you're on,Michael
397,1,ok michael um both my parents were born in mexico,Oscar
398,1,oh yeah,Michael
399,1,and uh they moved to the united sates a year before i was born so i grew up in the united states,Oscar
400,1,wow,Michael
401,1,my parents were mexican,Oscar
402,1,wow that is that is a great story that's the american dream right there right,Michael
403,1,thank yeah,Oscar
404,1,um let me ask you is there a term besides mexican that you prefer something less offensive,Michael
405,1,mexican isn't offensive,Oscar
406,1,well it has certain connotations,Michael
407,1,like what,Oscar
408,1,like i don't i don't know,Michael
409,1,what connotations michael you meant something,Oscar
410,1,no now remember that honesty,Michael
411,1,i'm just curious,Oscar
412,1,empathy respect jim jim,Michael
413,1,hello hello,Jim
414,1,i have something here i want you to take a card put it on your fore don't look at the card i want you to take the card and put it on your forehead and take a card take a card any card um and i want you to treat other people like the race that is on their forehead ok so everybody has a different race nobody knows what their race is so i want you to really go for it cause this is real you know this isn't just an exercise this is real life and i have a dream that you will really let the sparks fly get 'er done,Michael
415,1,why because martin luther king is a hero of mine there's this great chris rock bit about how streets named after martin luther king tend to be more violent i'm not going to do it but it's,Michael
416,1,oh this is a good one,Michael
417,1,um hi how are you,Pam
419,1,great,Pam
420,1,push it,Michael
422,1,thank you,Pam
423,1,good bom bom bom-bom bom come on olympics of suffering right here slavery versus the holocaust come on,Michael
425,1,no that was inadvertent we didn't actually plan that,Michael
426,1,lots of cultures eat rice doesn't help me,Dwight
427,1,um shalom i'd like to apply for a loan,Dwight
428,1,that's nice dwight,Pam
429,1,ok do me something stereotypical so i can get it really quick,Dwight
430,1,ok i like your food,Pam
431,1,outback steakhouse i'm australian mate,Dwight
432,1,pam come on 'i like your food' come on stir the pot stir the melting pot pam let's do it let's get ugly let's get real,Michael
433,1,ok if i have to do this based on stereotypes that are totally untrue that i do not agree with you would maybe not be a very good driver,Pam
434,1,oh man am i a woman,Dwight
435,1,you'll notice i didn't have anybody be an arab i thought that would be too explosive no pun intended but i just though 'too soon for arabs' maybe next year um you know the ball's in their court,Michael
436,1,what are you watching,Jim
438,1,really,Jim
440,1,no way i think she likes this stuff,Jim
442,1,yeah you know she's engaged but,Jim
444,1,oh yeah she's hot,Jim
445,1,hey,Kevin
446,1,hey,Angela
447,1,you wanna go to the beach,Kevin
448,1,sure,Angela
449,1,you wanna get high,Kevin
450,1,no,Angela
451,1,i think you do mon,Kevin
452,1,stop,Angela
453,1,ok all right no it's good you just need to push it you need to go a little bit further all right ok,Michael
454,1,kelly how are you,Michael
456,1,oh welcome to my convenience store would you like some googi googi i have some very delicious googi googi only 99 cents plus tax try my googi googi try my googi googi try my googi googi try my,Michael
457,1,all right all right yes that was great she gets it now she knows what it's like to be a minority,Michael
458,1,mr decker we didn't lose your sale today did we excellent ok let me just get your what's that no we didn't close last time i just need your oh w-what code were you given oh ok that's actually another salesman here i can redo it if you want to do that oh he gave you a discount no i don't blame you,Jim
459,1,i just hated it when that guy was in here mr brown if that was his real name i mean he had never met any of us before and here he was telling us how to do our thing i just wanted i just wanted to do it our way you know on our own man i should have gotten some food,Michael
460,1,maybe some spagh-etti,Kevin
461,1,okay kevin you can take that off that thing ok that would really really have shown him up wouldn't it if i'd brought in some burritos or some colored greens or some pad thai i love pad thai,Michael
463,1,what,Michael
465,1,that doesn't really make sense because you don't call them collared people that's offensive hmmm ok well it's after five so thank you very much buena vista oscar thank you good job oh my man thank you brazil nice,Michael
466,1,um hey,Jim
467,1,mmmm,Pam
468,1,hey,Jim
469,1,oh,Pam
470,1,we can go,Jim
471,1,sorry,Pam
472,1,that's fine,Jim
473,1,uh not a bad day,Jim
475,1,yeah i would like to see us erase 100 years of racism in an hour,Michael
477,1,no the country,Michael
479,1,yeah more like a 1000,Michael
481,1,i am a salesman okay and i don't think we should be doing this during prime sales hours if you can prove to me that diversity is going to help my sales i'll go elephant running with james earl jones i really will but not on spec,Dwight
483,1,i just think that hero it's cute but it's it's empty you know it's easy dwight you know what i came up with some terms of my own could you put these on the board the first one is inclusion new attitudes color-blind,Michael
485,1,expectations,Michael
487,1,thank you sharing,Michael
489,1,and tolerance,Michael
491,1,um that spells incest,Pam
493,1,well it's not ideal but you have to give me some credit 'cause i made it into a word,Michael
495,1,i will give you a number of reasons why it is actually okay first incest is bad racism is bad no brainer right two incest we're all a family right we're all brothers and sisters racial message um number three and this is a fact the states where they have a lot of racism are the states where they have a lot of incest okay and finally,Michael
497,1,no no no no wait final one final one this is important the more we can encourage interracial dating as a society the further away we get from incest literally,Michael
498,1,it would've been just as easy for him to spell insect of course that wouldn't have made any sense either,Pam
503,1,okay i'm sorry i'm sorry this guy's a temp and i should've told you that,Michael
505,1,yeah but no seriously uh you know he's not a member of the full staff so uh ryan you wanna just step outside,Michael
507,1,well maybe you should go down to the parking lot you know what yes go down to the parking lot and check to se if any of our guests have parked in the handicapped spots cool 'cause the handicaps get a raw deal oh you know what that ties right into new attitudes new attitudes about handicap people very important,Michael
509,1,yeah um there's good things about michael he uh uh yeah definitely um,Pam
510,1,in this way i can truly be a hero signed daffy duck' he's going to lose it when he reads that doh hogan not again hogan get col burkhalter on the phone i'm kind of a hogan around here and kind of jan is kind of col burkhalter then dwight is schultz but it's oh god we have fun we have fun 'cause he's gonna be pissed no doubt about it,Michael
511,1,what you doing,Dwight
512,1,freecell,Jim
513,1,solitaire is a one-player game it can't have two players,Dwight
514,1,well i mean,Jim
515,1,what's your win rate,Dwight
516,1,seventy-six percent what's yours,Pam
517,1,you're not allowed to play two-player you need to start over,Dwight
518,1,you're doing fine,Pam
519,1,are we going don't do that just say action when we're ready,Michael
520,1,dunder mifflin michael scott diversity tomorrow take four and action,Dwight
521,1,should i turn no do it again,Michael
522,1,diversity tomorrow take five action,Dwight
523,1,hi i'm michael scott i'm in charge of dunder mifflin paper products here in scranton pennsylvania but i'm also the founder of diversity tomorrow because today is almost over abraham lincoln once said that 'if you're a racist i will attack you with the north' and those are the principles damn it okay sorry don't laugh; please don't laugh this time dwight you're it's it's bugging me let me give myself a countdown ready three two one,Michael
524,1,take six,Dwight
525,1,just let me do it god three two one hi i'm michael scott i'm in charge of dunder mifflin paper products here in scranton keep the camera steady please people are gonna get sea sick watching this ready three two one,Michael
526,1,action,Dwight
527,1,don't please don't say anything oh god,Michael
528,1,and action lights camera action whenever you're ready,Dwight
529,1,could i count myself down please dwight three two one hi i'm michael scott i'm in charge of dunder mifflin paper products here in scranton pennsylvania but i'm also the founder of diversity tomorrow because today is almost over abraham lincoln once said that 'if you're a racist i will attack you with the north' and those are the principles that i carry with me in the workplace,Michael
530,1,cut,Dwight
531,1,i want you to push it i want you to push 'cause breakthroughs are right around the corner something's going to pop here something's going to pop between a party feel what it's like to be in someone else's skin what does it feel like to be a different race it feels pretty bad doesn't it so let that come out,Michael
532,1,yeah i marched on washington back in the day i went to the washington monument and the lincoln memorial us mint congressman talked to our class it was pretty cool,Michael
533,1,talk like you're talking to that race i have a feeling that this could get kind of volatile so keep it going,Michael
534,1,um what's going on here,Jim
535,1,people treat us like the race on our forehead and then we guess what race we are,Pam
536,1,ah good good luck doing good,Jim
537,1,oh man am i a woman,Dwight
538,1,yes yes,Jim
539,1,god,Dwight
540,1,how embarrassing is it that's not fair here,Jim
541,1,it's not fair,Dwight
542,1,try this,Jim
543,1,thank you thank you very much,Dwight
544,1,go get 'em,Jim
545,1,good so am i a hunter gather culture,Dwight
546,1,no,Pam
