Scene,Speaker,Words
"Season 1, Episode 1, Scene 21",Michael,relax everything's under control uh yeah yeah that's important right oh this is so important i should run to answer it come on six-million dollar man steve austin actually that would be a good salary for me don't you think six million dollars memo to jan i deserve a raise i'm sorry if you're unhappy with your compensation maybe you should take it up with hr ok not today ok pam just be professional
"Season 1, Episode 1, Scene 22",Michael,i think i'm a role model here i think i garner people's respect attention all dunder mifflin employees please we have a meeting in the conference room asap
"Season 1, Episode 1, Scene 23",Michael,people i respect heroes of mine would be bob hope abraham lincoln definitely bono and probably god would be the fourth one and i just think all those people really helped the world in so many ways that it's really beyond words it's really incalculable
"Season 1, Episode 1, Scene 24",Michael,now i know there's some rumors out there and i just kind of want to set the record straight assistant to the regional manager i'm about to tell everybody i'm just about to tell everybody you don't know what it is i don't need your permission corporate has deemed it appropriate to enforce an ultimatum upon me and jan is thinking about downsizing either the stamford branch or this branch
"Season 1, Episode 1, Scene 24",Dwight,i'm assistant regional manager i should know first ok um can you just tell me please just tell me quietly can you whisper it in my ear please ok do you want me to tell 'em ok you tell 'em with my permission permission granted go ahead
"Season 1, Episode 1, Scene 24",Oscar,can't you just tell us
"Season 1, Episode 1, Scene 26",Oscar,yeah but michael what if they downsize here
"Season 1, Episode 1, Scene 26",Michael,not gonna happen it won't be out of my hands stanley ok i promise you that no well yeah it is a promise and frankly i'm a little insulted that you have to keep asking about it i know hold on a second i think pam wanted to say something pam you had a look that you wanted to ask a question just then well pam maybe you should stick to the ongoing confidentiality agreement of meetings no stanley no you did not see me in there with her i said if corporate wants to come in here and interfere then they're gonna have to go through me right you can go mess with josh's people but i'm the head of this family and you ain't gonna be messing with my chillin
"Season 1, Episode 1, Scene 26",Dwight,on his mother's grave pam information is power
"Season 1, Episode 1, Scene 26",Pam,i was in the meeting with jan and she did say that it could be this branch that gets the axe
"Season 1, Episode 1, Scene 27",Jim,if i left what would i do with all this useless information in my head you know tonnage price of manila folders um pam's favorite flavor of yogurt which is mixed berry
"Season 1, Episode 1, Scene 28",Pam,jim said mixed berries well yeah he's on to me um
"Season 1, Episode 1, Scene 29",Michael,watch out for this guy dwight schrute in the building this is ryan the new temp introduce yourself be polite assistant to the regional manager so uh dwight tell him about the kung fu and the car and everything that's his profit
"Season 1, Episode 1, Scene 29",Dwight,dwight schrute assistant regional manager uh yeah i got a '78 280z bought it for $1200 fixed it up it's now worth three grand new engine new suspension i got a respray i've got some photos
"Season 1, Episode 1, Scene 30",Dwight,damn it jim he put my stuff in jell-o again that's real professional thanks that's the third time and it wasn't funny the first two times either jim
"Season 1, Episode 1, Scene 30",Michael,ok hold on hold on the judge is in session what is the problem here
"Season 1, Episode 1, Scene 31",Dwight,it's ok here but people sometimes take advantage because it's so relaxed i'm a volunteer sheriff's deputy on the weekends and you cannot screw around there that's sort of one of the rules
"Season 1, Episode 1, Scene 32",Michael,what is that no no no do not take it out you have to eat it out of there because there are starving people in the world which i hate and it is a waste of that kind of food discipline kinky all right here's the deal you guys the thing about a practical joke is you have to know when to start and as well as when to stop and yeah jim this is the time to stop putting dwight's personal effects into jell-o nice that's the way it is around here it just kind of goes round and round hey yes new guy he scores pudding pudding i'm trying to think of another dessert to do
"Season 1, Episode 1, Scene 32",Dwight,that is my stapler ok you know what you can be a witness can you reprimand him it's always you are you going to discipline him or not yeah ok that's great i guess what i'm most concerned with is damage to company property that's all
"Season 1, Episode 1, Scene 32",Jim,how do you know it was me ok dwight i'm sorry because i have always been your biggest flan
"Season 1, Episode 1, Scene 33",Jim,do you like going out at the end of the week for a drink that's why we're all going out so we can have an end-of-the-week-drink tonight hopefully what's going on
"Season 1, Episode 1, Scene 33",Pam,yeah so when are we going out ok yeah hey
"Season 1, Episode 1, Scene 34",Pam,roy's my fiancee we've been engaged about three years we were supposed to get married in september but i think we're gonna get married in the spring
"Season 1, Episode 1, Scene 35",Pam,do you mind if i go out for a drink with these guys ok i'm gonna be a few minutes so it's only twenty past five i still have to do my faxes
"Season 1, Episode 1, Scene 35",Jim,you know what you should come with us because you know we're all going out and it could be a good chance for you to see what people are like outside the office i think it could be fun yeah yeah um what's in the bag no definitely all right dude awesome will do
"Season 1, Episode 1, Scene 36",Jim,do i think i'll be invited to the wedding
"Season 1, Episode 1, Scene 37",Michael,so have you felt the vibe yet we work hard we play hard sometimes we play hard when we should be working hard right i guess the atmosphere that i've created here is that i'm a friend first and a boss second and probably an entertainer third just a second right oh hey do you like the jamie kennedy experiment punk'd and all that kind of stuff you are gonna be my accomplice just go along with it ok just follow my lead don't pimp me all right come in so uh corporate just said that i don't want to oh thank you pam can you come in here for a sec just have a seat i was gonna call you in anyway you know ryan as you know there is going to be downsizing and you have made my life so much easier in that i am going to have to let you go first why well theft and stealing post-it notes 50 cents yeah if you steal a thousand post-it notes at 50 cents apiece and you know you've made a profit margin you're gonna run us out of business pam yeah i am but the best thing about it is that we're not going to have to give you any severance pay because that is gross misconduct and just clean out your desk i'm sorry you been x'd punk surprise it's a joke we were joking around see ok he was in on it he was my accomplice and it was kind of a morale booster thing and we were showing the new guy around giving him the feel of the place so you god we totally got you i don't know about that
"Season 1, Episode 1, Scene 37",Pam,you got a fax what why stealing what am i supposed to have stolen post-it notes what are those worth 50 cents are you serious i can't believe this i mean i have never even stolen as much as a paperclip and you're firing me you're a jerk
"Season 1, Episode 1, Scene 38",Michael,what is the most important thing for a company is it the cash flow is it the inventory nuh-uh it's the people the people my proudest moment here was not when i increased profits by 17% or when i cut expenses without losing a single employee no no no no no it was a young guatemalan guy first job in the country barely spoke english he came to me and said 'mr scott would you be the godfather of my child' wow wow didn't work out in the end we had to let him go he sucked
"Season 1, Episode 1, Scene 39",Pam,hey good i thought you were going out for a drink with it's better thanks yeah is um are you yes yeah yeah listen have a nice weekend
"Season 1, Episode 1, Scene 39",Jim,hey how are things oh no i just decided not to how's your headache good good that's great yeah am i walking out yes i do you want to great let me just oh roy yeah definitely you too enjoy it you know what just come here
"Season 1, Episode 1, Scene 40",Dwight,dwight schrute my father's name also dwight schrute my grandfather's name dweide schrude amish that's my family i don't know where they came the amish came from originally uh amland
"Season 1, Episode 1, Scene 40",Michael,hello i'm michael scott i'm the best boss in the world
"Season 1, Episode 1, Scene 40",Jim,my name is jim halpert and i am a sales rep which is a very important job um without me dozens literally dozens of small businesses would go paperless they would have to write on their hands or bed sheets or who knows you know total chaos total chaos i mean or they could get their paper somewhere else staples maybe i don't know
"Season 1, Episode 1, Scene 41",Michael,pam pam-pam pam has been with us for forever right pam yeah at one time or another every guy in the office has sprayed on pam messages
"Season 1, Episode 1, Scene 41",Pam,i guess what
"Season 1, Episode 1, Scene 42",Dwight,people respond to the human touch and that's what i give them i can look at a client and i can say 'hello how are you how's business been going' and we can go back and forth for sometime and uh then i'll say how much how many reams do you want' and they'll order it and then i'll take care of all the sales i'll make sure that they get that paper and they appreciate that
"Season 1, Episode 1, Scene 43",Michael,ah right here three stooges high five oh pam it's a guy thing pam now who was the one before curly curly very good curly joe derita well comedy's kinda my thing watch this here's curly joe mmm me me me me me me me me me me me me oh i forgot here we go i'm hitler right me me me me me me curly joe hitler
"Season 1, Episode 1, Scene 44",Michael,all these people are walking around and they're happy and their lives are just going along ignorance is bliss but if they knew what was lurking on the other side of that fence that furry monster 'i'm gonna get you downsizing' no they wouldn't they'd freak and i'm not going to play god they look to me for support and they look to me for guidance and leadership and i think if i could lie to them and it serves them then that's what i'm going to do
"Season 1, Episode 1, Scene 45",Michael,so this is our sales staff they are the ones who are making calls and making us lots of money this is accounting the numbers dudes do not let the job description fool you they are all completely crazy especially that guy he is a mental patient not literally of course that wouldn't work the last place you'd want somebody like that is accounting 'very interesting but stupid' artie johnson it's a crazy place
"Season 1, Episode 1, Scene 46",Angela,my name is angela and um i'm in charge of the accounting department there are three of us kevin and oscar oscar how do i describe him he's like a stapler do i need a stapler yes but i'm still the one that has to push it down not very worried about downsizing right now because uh i think you've met kevin and um i have a lot of cat figurines on my desk i think cats really are old souls and uh phyllis thinks so too
"Season 1, Episode 1, Scene 46",Oscar,it's my job to keep the books in order and um i i'm uh immediately below my supervisor there's a lot of anxiety i don't want to get laid off this place is like five minutes from my house can i just say one thing um my friend is jewish art geller and a couple of years ago he um showed me how you can plant a tree in israel so i planted a tree so you know 'cause yeah we work in paper well you know i try to give back
"Season 1, Episode 1, Scene 46",Kevin,i don't wanna be laid off this is a good job for me 'cause i need my nights free i'm in a band
"Season 1, Episode 1, Scene 47",Michael,what you don't know well it can hurt you but if you don't know it won't hurt you then you can just be happy for a little while at least
"Season 1, Episode 1, Scene 48",Michael,what's that oh john belushi what a crazy guy phew freaked myself out this morning yeah i thought i found a lump i checked the uh i check the jewels every month this time you know it's a little different it was fine it was fine but freaky man you know testicular cancer god cancer whoa testicles so what's um what you eating oh place around the corner nice all right see you later
"Season 1, Episode 1, Scene 48",Pam,wired oh yeah smoked turkey
"Season 1, Episode 1, Scene 49",Michael,do i need to speak up hello
"Season 1, Episode 1, Scene 50",Dwight,that's fine i'm sorry it makes me nervous i understand it's in a blind spot because i'm trained in several martial arts and one of them uh includes uh an awareness that the masters bring uh of anything on all sides of you it could be behind you or whatever this is directly in a blind spot so i'm trained to respond negatively to something right above my head this now i have an eye on you see it's on my periphery and if i needed to block it attack it stop it somehow i could come right out i mean i know you're doing your job but documentary crew member: it's i'm doing my job
"Season 1, Episode 1, Scene 51",Michael,i think better to be a happy idiot then a um then someone who knows the truth
"Season 1, Episode 2, Scene 1",Michael,hey uh can i help you out in here gotcha good i'd go with the rows that's a good idea
"Season 1, Episode 2, Scene 2",Michael,today is diversity day and someone's going to come in and talk to us about diversity it's something that i've been pushing that i've been wanting to push for a long time and corporate mandated it and i never actually talked to corporate about it they kind of beat me to the punch the bastards but i was going to and i think it's very important that we have this i'm very very excited
"Season 1, Episode 2, Scene 3",Jim,that's the thing it's very sturdy paper and on the back it says '100% post-consumer content' what hello uh-huh wait what i'm sorry mr decker i think i'm losing you hello hello yeah hold on one second i don't know hold on one second do you really have to do that right now mr decker i'm sorry about that what were you can you hold on one second yeah just one second thanks hello that's it perfect so what i was saying hello thanks dwight that is not the expression
"Season 1, Episode 2, Scene 3",Dwight,yes i do i should have done it weeks ago actually retaliation tit for tit well it should be
"Season 1, Episode 2, Scene 4",Jim,this is my biggest sale of the year they love me over there for some reason i'm not really sure why but i make one call over there every year just to renew their account and that one call ends up being 25% of my commission for the whole year so i buy a mini bottle of champagne celebrate a little and this year i'm pushing recycled paper on them for one percent more i know i'm getting cocky right
"Season 1, Episode 2, Scene 5",Jim,solitaire six on seven so then why didn't you do it who doesn't love that
"Season 1, Episode 2, Scene 5",Pam,yeah freecell i know i saw that i'm saving that 'cause i like it when the cards go t-ts-ts-tch-tch-tch
"Season 1, Episode 2, Scene 6",Michael,hey oscar how are you doing man did you have a good weekend going there oh yeah i bet it was fun oh hey this is oscar--- right see i don't even know first-name basis oh hey well diversity everybody let's do it oscar works in here jim could you wrap it up please it's diversity day jim i wish every day was diversity day
"Season 1, Episode 2, Scene 6",Oscar,all right it was fine martinez
"Season 1, Episode 2, Scene 6",Jim,yeah uh mr decker please you know what i'm actually going to have to call you back thank you sorry about that
"Season 1, Episode 2, Scene 7",Michael,come on people let's get 'em in get in the cards get in the cards you know what this is a color-free-zone here stanley i don't look at you as another race exactly were not with tolerance ignorance let's celebrate celebrate good times come on let's celebrate diversity right you know what here's what we're going to do why don't we go around and everybody everybody say a race that you are attracted to sexually i will go last go yes ok hey hey why don't you run it by me and i'll run it by him ok why don't we just defer to mr ah oh right ok first test i will not call you that
"Season 1, Episode 2, Scene 7",Dwight,i have two white and indian a few of the ground rules ok can we steer away from gay people i'm sorry it's an orientation it's not a race plus a lot of other races are intolerant of gays soparadox i figured it would save time
"Season 1, Episode 2, Scene 8",Michael,how come chris rock can do a routine and everybody finds it hilarious and ground-breaking and then i go and do the exact same routine same comedic timing and people file a complaint to corporate is it because i'm white and chris is black
"Season 1, Episode 2, Scene 9",Michael,i will play the chris rock guy i would like to see someone else pull this off ok i will play guy listening ok
"Season 1, Episode 2, Scene 9",Kevin,i remember
"Season 1, Episode 2, Scene 10",Michael,kevin is a great guy he's a great accountant he is not much of an entertainer
"Season 1, Episode 2, Scene 11",Kevin,basically there are two types of black people and black people are actually more racist because they hate the other type of black people every time the one type wants to have a good time then the other type comes in and makes a real mess
"Season 1, Episode 2, Scene 11",Michael,ok i'm sorry i'm sorry he's ruin he's butchering it could you just let me every time every time black people want to have a good time some ignant ass i take care of my kid they always want credit for something they supposed to do what you want a cookie
"Season 1, Episode 2, Scene 12",Dwight,excuse me i'm sorry but that's not all it takes to be a hero a hero kills people people that wish him harm a hero is part-human and part-supernatural a hero is born out of a childhood trauma or out of a disaster that must be avenged we all have a hero in our heart
"Season 1, Episode 2, Scene 12",Michael,i don't think i can sign this well ok it says here that i learned something and i knew all this stuff already so i know i could sign something that says that i taught something or that i helped you teach something so pam where is she pam could we change something on this sure
"Season 1, Episode 2, Scene 13",Michael,here's the thing this office i think this is very advanced in terms of racial awareness and it's probably more advanced than you're used to that's probably throwing you off a little bit ok well i know you told me that several times ok well here i am thinking that you actually cared about diversity training and you don't i won't yeah yeah
"Season 1, Episode 2, Scene 14",Michael,i regret my actions i regret offending my coworkers i pledge to bring my best spirit of honesty empathy respect and open-mindedness' open-mindedness is that even a word 'into the workplace in this way i can truly be a hero signed daffy duck' he's going to lose it when he reads that
"Season 1, Episode 2, Scene 15",Jim,yeah hi is mr decker around oh well could you just have him call me after lunch thank you
"Season 1, Episode 2, Scene 15",Michael,i pledge to always keep an open mind and an open heart' i do believe in that part of the pledge i that just read but a pledge come on i mean who are we the girl scouts no look the guy 'mr brown' he got us halfway there he got us talking well no i got us talking he got us nothing he insulted us and he abandoned us you call that diversity training i don't were there any connections between any of us did anyone look each other in the eye was there any emotion going on no where was the heart i didn't see any heart where was my oprah moment ok get as much done as you can before lunch because afterward i'm going to have you all in tears
"Season 1, Episode 2, Scene 16",Michael,all right everybody pretty come on here we go it's time let's do some good get out no this is not a joke ok that was offensive and lame so double offensive this is an environment of welcoming and you should just get the hell out of here ok let's go let's do it come on let's have some fun everybody here we go take a seat cop a squat and um thanks for coming in um diversity is the cornerstone of progress as i've always said but don't take my word for it let's take a look at the tape
"Season 1, Episode 2, Scene 17",Michael,hi i'm michael scott i'm in charge of dunder mifflin paper products here in scranton pennsylvania but i'm also the founder of diversity tomorrow because today is almost over abraham lincoln once said that 'if you're a racist i will attack you with the north' and those are the principles that i carry with me in the workplace
"Season 1, Episode 2, Scene 18",Michael,ok questions comments anybody jim yes i only had an hour to put it together but i'm going to add on to it later on uh yes that probably had something to do with the camera work anybody else um yeah well if you leave we'll only have two left yes enjoy absolutely namaste ok well since i am leading this let's get down to business and why don't i just kind of introduce myself ok um i am michael and i am part english irish german and scottish sort of a virtual united nations but what some of you might not know is that i am also part native american indian two fifteenths well you know what it's kind of hard for me to talk about it their suffering so who else let's get this popping come on who's going who's going let's go here oscar right here you're on oh yeah wow wow that is that is a great story that's the american dream right there right um let me ask you is there a term besides mexican that you prefer something less offensive well it has certain connotations like i don't i don't know no now remember that honesty empathy respect jim jim
"Season 1, Episode 2, Scene 18",Jim,: uh is that it hello hello
"Season 1, Episode 2, Scene 18",Kevin,it was kind of hard to hear
"Season 1, Episode 2, Scene 18",Oscar,what part native american two fifteenths that fraction doesn't make any sense ok michael um both my parents were born in mexico and uh they moved to the united sates a year before i was born so i grew up in the united states my parents were mexican thank yeah mexican isn't offensive like what what connotations michael you meant something i'm just curious
"Season 1, Episode 2, Scene 19",Michael,i have something here i want you to take a card put it on your fore don't look at the card i want you to take the card and put it on your forehead and take a card take a card any card um and i want you to treat other people like the race that is on their forehead ok so everybody has a different race nobody knows what their race is so i want you to really go for it cause this is real you know this isn't just an exercise this is real life and i have a dream that you will really let the sparks fly get 'er done
"Season 1, Episode 2, Scene 20",Michael,why because martin luther king is a hero of mine there's this great chris rock bit about how streets named after martin luther king tend to be more violent i'm not going to do it but it's
"Season 1, Episode 2, Scene 21",Michael,oh this is a good one push it good bom bom bom-bom bom come on olympics of suffering right here slavery versus the holocaust come on no that was inadvertent we didn't actually plan that pam come on 'i like your food' come on stir the pot stir the melting pot pam let's do it let's get ugly let's get real
"Season 1, Episode 2, Scene 21",Pam,um hi how are you great thank you that's nice dwight ok i like your food ok if i have to do this based on stereotypes that are totally untrue that i do not agree with you would maybe not be a very good driver
"Season 1, Episode 2, Scene 21",Dwight,lots of cultures eat rice doesn't help me um shalom i'd like to apply for a loan ok do me something stereotypical so i can get it really quick outback steakhouse i'm australian mate oh man am i a woman
"Season 1, Episode 2, Scene 22",Michael,you'll notice i didn't have anybody be an arab i thought that would be too explosive no pun intended but i just though 'too soon for arabs' maybe next year um you know the ball's in their court
"Season 1, Episode 2, Scene 23",Jim,what are you watching really no way i think she likes this stuff yeah you know she's engaged but oh yeah she's hot
"Season 1, Episode 2, Scene 24",Kevin,hey you wanna go to the beach you wanna get high i think you do mon
"Season 1, Episode 2, Scene 24",Angela,hey sure no stop
"Season 1, Episode 2, Scene 24",Michael,ok all right no it's good you just need to push it you need to go a little bit further all right ok
"Season 1, Episode 2, Scene 25",Michael,kelly how are you oh welcome to my convenience store would you like some googi googi i have some very delicious googi googi only 99 cents plus tax try my googi googi try my googi googi try my googi googi try my all right all right yes that was great she gets it now she knows what it's like to be a minority
"Season 1, Episode 2, Scene 26",Jim,mr decker we didn't lose your sale today did we excellent ok let me just get your what's that no we didn't close last time i just need your oh w-what code were you given oh ok that's actually another salesman here i can redo it if you want to do that oh he gave you a discount no i don't blame you
"Season 1, Episode 2, Scene 27",Michael,i just hated it when that guy was in here mr brown if that was his real name i mean he had never met any of us before and here he was telling us how to do our thing i just wanted i just wanted to do it our way you know on our own man i should have gotten some food okay kevin you can take that off that thing ok that would really really have shown him up wouldn't it if i'd brought in some burritos or some colored greens or some pad thai i love pad thai what that doesn't really make sense because you don't call them collared people that's offensive hmmm ok well it's after five so thank you very much buena vista oscar thank you good job oh my man thank you brazil nice
"Season 1, Episode 2, Scene 27",Kevin,maybe some spagh-etti
"Season 1, Episode 2, Scene 28",Jim,um hey hey we can go that's fine
"Season 1, Episode 2, Scene 28",Pam,mmmm oh sorry
"Season 1, Episode 2, Scene 29",Jim,uh not a bad day
"Season 1, Episode 2, Scene 30",Michael,yeah i would like to see us erase 100 years of racism in an hour no the country yeah more like a 1000
"Season 1, Episode 2, Scene 31",Dwight,i am a salesman okay and i don't think we should be doing this during prime sales hours if you can prove to me that diversity is going to help my sales i'll go elephant running with james earl jones i really will but not on spec
"Season 1, Episode 2, Scene 32",Michael,i just think that hero it's cute but it's it's empty you know it's easy dwight you know what i came up with some terms of my own could you put these on the board the first one is inclusion new attitudes color-blind expectations thank you sharing and tolerance well it's not ideal but you have to give me some credit 'cause i made it into a word i will give you a number of reasons why it is actually okay first incest is bad racism is bad no brainer right two incest we're all a family right we're all brothers and sisters racial message um number three and this is a fact the states where they have a lot of racism are the states where they have a lot of incest okay and finally no no no no wait final one final one this is important the more we can encourage interracial dating as a society the further away we get from incest literally
"Season 1, Episode 2, Scene 32",Pam,um that spells incest
"Season 1, Episode 2, Scene 33",Pam,it would've been just as easy for him to spell insect of course that wouldn't have made any sense either
"Season 1, Episode 2, Scene 34",Michael,okay i'm sorry i'm sorry this guy's a temp and i should've told you that yeah but no seriously uh you know he's not a member of the full staff so uh ryan you wanna just step outside well maybe you should go down to the parking lot you know what yes go down to the parking lot and check to se if any of our guests have parked in the handicapped spots cool 'cause the handicaps get a raw deal oh you know what that ties right into new attitudes new attitudes about handicap people very important
"Season 1, Episode 2, Scene 35",Pam,yeah um there's good things about michael he uh uh yeah definitely um
"Season 1, Episode 2, Scene 36",Michael,in this way i can truly be a hero signed daffy duck' he's going to lose it when he reads that doh hogan not again hogan get col burkhalter on the phone i'm kind of a hogan around here and kind of jan is kind of col burkhalter then dwight is schultz but it's oh god we have fun we have fun 'cause he's gonna be pissed no doubt about it
"Season 1, Episode 2, Scene 37",Dwight,what you doing solitaire is a one-player game it can't have two players what's your win rate you're not allowed to play two-player you need to start over
"Season 1, Episode 2, Scene 37",Jim,freecell well i mean
"Season 1, Episode 2, Scene 37",Pam,seventy-six percent what's yours you're doing fine
"Season 1, Episode 2, Scene 38",Michael,are we going don't do that just say action when we're ready should i turn no do it again hi i'm michael scott i'm in charge of dunder mifflin paper products here in scranton pennsylvania but i'm also the founder of diversity tomorrow because today is almost over abraham lincoln once said that 'if you're a racist i will attack you with the north' and those are the principles damn it okay sorry don't laugh; please don't laugh this time dwight you're it's it's bugging me let me give myself a countdown ready three two one just let me do it god three two one hi i'm michael scott i'm in charge of dunder mifflin paper products here in scranton keep the camera steady please people are gonna get sea sick watching this ready three two one don't please don't say anything oh god could i count myself down please dwight three two one hi i'm michael scott i'm in charge of dunder mifflin paper products here in scranton pennsylvania but i'm also the founder of diversity tomorrow because today is almost over abraham lincoln once said that 'if you're a racist i will attack you with the north' and those are the principles that i carry with me in the workplace
"Season 1, Episode 2, Scene 38",Dwight,dunder mifflin michael scott diversity tomorrow take four and action diversity tomorrow take five action take six action and action lights camera action whenever you're ready cut
"Season 1, Episode 2, Scene 39",Michael,i want you to push it i want you to push 'cause breakthroughs are right around the corner something's going to pop here something's going to pop between a party feel what it's like to be in someone else's skin what does it feel like to be a different race it feels pretty bad doesn't it so let that come out
"Season 1, Episode 2, Scene 40",Michael,yeah i marched on washington back in the day i went to the washington monument and the lincoln memorial us mint congressman talked to our class it was pretty cool
"Season 1, Episode 2, Scene 41",Michael,talk like you're talking to that race i have a feeling that this could get kind of volatile so keep it going
"Season 1, Episode 2, Scene 42",Jim,um what's going on here ah good good luck doing good yes yes how embarrassing is it that's not fair here try this go get 'em
"Season 1, Episode 2, Scene 42",Pam,people treat us like the race on our forehead and then we guess what race we are no no no no no
"Season 1, Episode 2, Scene 42",Dwight,oh man am i a woman god it's not fair thank you thank you very much good so am i a hunter gather culture do i live near a harbor or an ocean no i'm an inland am i a mountainous am i nomadic okay okay okay okay i think i got this um i am treated in a foreign way with a great deal of prejudice am i one of those tribes in africa the piggies or whatever no but i am i am human right
"Season 1, Episode 2, Scene 43",Dwight,i could be french
"Season 1, Episode 2, Scene 44",Dwight,damn it jim that's not funny jim
"Season 1, Episode 2, Scene 44",Michael,oh okay here we go breakthrough radar what happened what happened here okay all right let's keep on track keep on point let's do it
"Season 1, Episode 2, Scene 44",Pam,it didn't have anything to do with race
"Season 1, Episode 2, Scene 45",Pam,one time we had an ethnic festival in scranton one time
"Season 1, Episode 2, Scene 46",Michael,try my googi googi try my googi googi try my googi googi try my all right all right yes that was great she gets it kelly thank you she's not here but she gets it that's what we have been looking for the whole time oh man this is what i thrive on you know it's like don rickles on acid man right what huh it's good this is good we got it happening now all right let's keep it rolling let's round it up
"Season 1, Episode 2, Scene 46",Jim,um why did she slap martin luther king i think she wasn't wearing a card
"Season 1, Episode 2, Scene 46",Pam,what card was she
"Season 1, Episode 3, Scene 1",Michael,pam pamela pam-elama-ding-dong making copies let's go messages stat lots to do lots to do information superhighway lay them on me what that's not what you said earlier
"Season 1, Episode 3, Scene 1",Pam,i'm not making any copies nothing new there's nothing new oh do you want me to repeat the messages that i gave you before for the
