speaker,Episodes Appeared
Production Assistant,1
Professor,1
Professor Powell,1
Promo Announcer,1
Promo Voice,1
Queerenstein Bears,1
Rachel,2
Radio,1
Rafe,1
Randy,1
Ravi,3
Realtor,1
Receptionist,8
Receptionitis15,1
Receptionitis15 [screen name],1
Redheaded Actress,1
Registrar,1
Rehab Nurse,1
Reid,1
Rep,1
Reporter,2
Reporter #1,1
Reporter #2,1
Robert,21
Robert & Creed,1
Robert California,2
Robert Dunder,1
Robotic Voice,1
Roger,1
Rolando,2
Rolf,1
Rolph,1
Ronnie,1
Rory,1
Rose,1
Roy,30
Ruger Sister 1,1
Ruger Sister 2,1
Ryan,141
Ryan Howard,1
Ryan and Kelly,1
Ryan and Michael,1
Ryan and others,1
Ryan's Voicemail,1
Sadiq (IT guy),1
Salesman,2
Salesmen,1
Saleswoman,1
Sam,1
Santigold,1
Sasha,3
School Official,1
Second Cindy,1
Second Shareholder,1
Secretary,3
Security,1
Security guard,1
Senator,3
Senator Lipton,3
Senator Liptop,1
Sensei,1
Sensei Ira,1
Server,2
Seth Mayers,1
Shane,1
Shareholder,1
Shelby,1
Sheriff,1
Sherri,1
Shirley,1
Soldier,2
Someone,3
Son,1
Song,1
Spanish Teacher,1
Speaker,2
Stanely,1
Stanley,171
Stanley & Phyllis,1
Staples Guy,1
Stephanie,3
Steve,1
Stewardess,1
Stonewall Host,1
Store Employee,1
Stripper,1
Stu,1
Student 1,2
Student 2,2
Student 3,1
Students,2
Suit Store Father,1
Suit Store Son,1
Supervisor,1
Susan,1
Sweeney Todd,1
TV,1
Tall Girl #1,1
Tall Girl #2,1
Tattoo Artist,1
Teacher,1
Teammates,1
Tech Guy,1
Ted,1
Teddy,1
Teddy Wallace,1
The Kids,1
Third Shareholder,1
Toby,119
Todd,3
Todd Packer,11
Together,1
Tom,3
Tom Halpert,1
Tom and Pete,1
Tony,2
Travel Agent,1
Trevor,2
Troy,3
Ty,1
Uncle Al,1
Unknown,1
Usher,2
VRG 1,1
VRG 2,1
Val,11
Vance Refrigeration Guy,1
Vance Refrigeration Guy 1,1
Vance Refrigeration Guy 2,1
Vance Refrigeration Worker #1,3
Vance Refrigeration Worker #2,2
Vance Refrigeration guy,2
Various,2
Vet,1
Video,2
Video Michael,1
Vikram,2
Voice #1 on phone,1
Voice #2 on phone,1
Voice of Thomas Dean,1
Voice on CD player,1
Voicemail,1
W.B. Jones,1
Wade,1
Waiter,8
Waitress,6
Wally Amos,1
Walt Jr.,1
Walter,1
Walter & Walter Jr,1
Walter Jr,1
Warehouse Crew,1
Warehouse Guy,3
Warehouse Michael,1
Warehouse Worker,1
Warehouse guy,1
Warehouse guy 1,1
Warehouse guy 2,1
Warehouse guys,1
Warehouse worker,1
Warren,1
Warren Buffett,1
Wendy's phone operator,1
White,1
Window treatment guy,1
Wolf,1
Woman,9
Woman 1,1
Woman 2,1
Woman 3,1
Woman 4,1
Woman at bar,1
Woman from Buffalo,1
Woman in line,1
Woman on mic,1
Woman over speakerphone,1
Women,3
Worker,2
Wrangler,1
Young Man,1
Young Michael,1
Younger Guy,1
Zeke,3
Zion,1
"[Clark and Pete are shown on screen]
Video Andy: Hey, I'm Pete, puberty is such a drag, man. And I'm Clark! I like to eat toilet paper. [Clark and Pete wave at camera] We fail! [Video shows memorial of Jerry",1
"[repeats]
Andy: Fail",1
abe,1
sAndy,1
song,1
