speaker,Total Lines
Andy and Erin,1
Boom Box,1
Ryan and Kelly,1
"Phyllis, Stanley, Dwight",1
Old lady,1
Michael and Donna,1
Warehouse Michael,1
Oscar's voice from the computer,1
Registrar,1
Kevin's computer,1
Credit card rep,1
Pam's dad,1
Tom and Pete,1
Pete Halpert,1
Tom Halpert,1
"Dwight, Jim & Pam",1
Female intern,1
Warehouse guys,1
Vance Refrigeration Guy 2,1
Vance Refrigeration Guy 1,1
Automated phone voice,1
"Michael, Pam & Ryan",1
Man in Video,1
Chares,1
Michal,1
Supervisor,1
Angela and Kelly,1
Employees,1
Redheaded Actress,1
Man in line,1
Female Shareholder,1
Second Shareholder,1
(Pam's mom) Heleen,1
Dwight.,1
Bouncer,1
Miichael,1
"Meredith, Creed, Oscar and Matt",1
Night cleaning crew,1
Warehouse guy 2,1
D,1
Employee,1
Dale,1
"Dwight, Jim and Michael",1
Third Shareholder,1
Teddy Wallace,1
Chili's Employee,1
Jo Bennett,1
Christian Slater,1
Fake Stanley,1
Michael and Erin,1
Deliveryman,1
Zion,1
Fourth Shareholder,1
Carol Stills,1
